FID,GlobalID,DESCRIPTIO,LUC_CODE,Shape_STAr,Shape_STLe,Shape__Area,Shape__Length
258,{55B7F2EC-5696-4274-9FA9-D37EF2720148},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,14938.1596463,561.729249392,37813.0078125,893.637551713775
259,{2D8B1C1E-11DF-463B-803E-D507AD01548E},MANUFACTURED HOME FAMILY RESIDENTIAL DISTRICT,MHR,97711.2268781,1667.80535787,247211.171875,2652.59734362413
260,{FCE174C4-E53F-4AAE-A3E5-D59AF6DA7FFC},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,2054.12739207,220.474895008,5199.3984375,350.896875293738
261,{127131A8-5C76-4992-ADF7-D609E3C6003B},RESIDENTIAL SINGLE FAMILY-DETACHED PLUS DISTRICT,R1B,3104.05179072,234.402265447,7850.4765625,372.813925677639
262,{E7C98BB8-6489-4CF5-A848-DAC12E8224AA},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT STEWART CREEK DISTRICT,R3-SC,17649.6520211,602.200758476,44595.8515625,957.125449555434
263,{9405629E-78E7-454E-991F-DAEE778CA62C},RESIDENTIAL FAMILY LOW DENSITY DISTRICT,R2A,37646.8861177,1021.82526229,95150.1171875,1624.9484504279
264,{3B2A1A6D-C3D5-4F0B-8988-DB637A347DFC},SILVERTIP VILLAGE CORE DIRECT CONTROL DISTRICT,DC-37(Z)2007,295001.702275,2663.46999346,747141.0625,4240.33312952401
265,{0A97DA86-C07D-4D91-97BC-DBBAD3D6F606},RESIDENTIAL MEDIUM DENSITY DISTRICT,R4,127680.60879,2562.33402111,323128.6015625,4075.83816799791
266,{7DE8FA4E-FE3A-4B89-8E11-DE905A9F2FD2},PUBLIC USE DISTRICT,PD,4707.58247458,260.539620203,11913.8671875,414.489316820735
267,{02F975BD-15D2-4110-BD88-DF236991F75C},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,60563.9415941,1580.79677311,153202.8359375,2514.67715285294
268,{CB8B4F8D-FB60-4833-A9B7-E0AB154221C9},PUBLIC USE DISTRICT,PD,3771.1063171,310.14458351,9543.171875,493.762202299251
269,{5C586243-D85F-41D9-9317-E105863BF028},SILVERTIP COMPREHENSIVE RESIDENTIAL DISTRICT,STR-2,90158.2600953,1670.13868726,228297.2578125,2657.05702101487
270,{CEA84B85-EF4F-40B6-987A-E11FB3B30216},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,4026.97874147,282.492112245,10191.46875,449.475643414688
271,{615CC8F4-9F28-460F-8652-E13BBCF8EA5A},PUBLIC USE DISTRICT,PD,10040.2135645,888.79746099,25378.1875,1412.80345885974
272,{64021860-D3A0-40E2-A5EE-E4730DC5A8A7},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1A,170405.250529,2244.88539975,431199.40625,3571.52192205228
273,{E186F332-86CB-47C7-8E1A-E4D6B49E5AF8},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,25032.4554102,841.391405238,63340.46875,1339.09697832798
274,{24B6FC79-D85A-4708-891F-E6509770C150},MANUFACTURED HOME FAMILY RESIDENTIAL DISTRICT,MHR,65657.2865213,1538.06663111,166252.75,2447.2420480436
275,{7828CF90-67E0-49C0-9884-E7D31115A135},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,19999.2584096,732.617998078,50614.6171875,1165.38957756709
276,{FF3C2C1D-7D20-4A29-91DB-EA834063A9E8},TRINITY BIBLE CHURCH DIRECT CONTROL DISTRICT,DC,8022.64164704,362.850549857,20326.5546875,577.54794378223
277,{642557C2-5099-4B72-ADDB-EE669627A54A},GENERAL INDUSTRIAL DISTRICT,IND 2,172146.370054,1934.91670091,435503.6015625,3077.42887402683
278,{A9A2FF47-7E4F-4DA4-B5C9-EF41556E21BF},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,59192.8606396,1086.4547369,149893.9609375,1728.31044017057
279,{D167E2D3-2AD3-4F4A-9E4B-EF89AFE530F9},PUBLIC USE DISTRICT,PD,6902.95088403,539.502233671,17469.265625,858.623689294041
280,{C1766A7B-344F-4FA2-9882-F0FE3691FA63},ENVIRONMENTAL DISTRICT,ED,5363.99726929,391.435881847,13578.8203125,623.169248939561
281,{B257A7D4-D031-4801-BE7A-F1A57C2D9489},PEAKS OF GRASSI SMALL LOT DIRECT CONTROL DISTRICT,DC-13-96,82024.1603683,1484.63730494,207430.7109375,2359.5002781181
282,{C94C8271-D3EE-431B-92A8-F1B85E7FFD47},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,23458.5071011,829.168026833,59412.2109375,1319.3401372487
283,{7699F90F-A4B2-4184-9F67-F32FCC894CE2},RESIDENTIAL MEDIUM DENSITY DISTRICT,R4,2435.03202468,199.443239309,6163.140625,317.239732701046
284,{8B565357-6A2F-4A0E-BBC7-F364176DF750},RESIDENTIAL SINGLE FAMILY-DETACHED DISTRICT,R1,14626.9419863,605.349297783,37021.0625,963.214589612676
285,{89517E03-31DB-4558-B06E-F3A6F034673C},PUBLIC USE DISTRICT,PD,7740.00302155,1172.34272657,19578.21875,1864.89400636216
286,{7E9F3D44-4703-4D37-9D51-F45AF782A576},RESIDENTIAL MEDIUM DENSITY DISTRICT,R4,20114.6655408,828.880850307,50864.984375,1317.12214143387
287,{3413A218-119F-4704-A973-F50134525DD4},RESIDENTIAL FAMILY TWO-UNIT DISTRICT,R2,36422.2546328,1149.67350134,92122.3515625,1827.77244258319
288,{E6D02B22-83B2-47BC-8D04-F6DE4D5394F1},TEEPEE TOWN COMPREHENSIVE REDEVELOPMENT DISTRICT,TPT-CR,91700.4357676,1535.95970344,232162.1015625,2444.95696848661
289,{37F12A25-EA6D-4E89-9ADF-F6E0D2C3DECC},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,13427.7526103,482.653641138,33973.109375,768.00169624501
290,{6F6129EC-658F-4321-A788-F744BA916C96},RUNDLE CRESCENT TOWNHOUSES DIRECT CONTROL DISTRICT,DC-3(Z)93,11280.6237728,442.793753963,28547.71875,704.594716906638
291,{5D39E87B-70DC-4333-8CA4-F851624CE65A},MALLARD ALLEY GUEST HOUSE DIRECT CONTROL DISTRICT,DC-23(Z)2001,675.562613417,127.39682122,1710.046875,202.724661525661
292,{B5D6A2BA-35B6-4758-BFDC-FAF80F3831C4},PUBLIC USE DISTRICT,PD,4016.80677882,435.006048179,10153.34375,691.304880195085
293,{42894E85-4CBC-4069-A479-FBFA6D88EF80},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT STEWART CREEK DISTRICT,R3-SC,31993.2437955,878.143800178,80841.2421875,1396.08655869775
294,{7A334421-9478-44BC-840D-FC48956A8802},EMPLOYEE HOUSING DISTRICT,EHD,12475.1707796,545.462652829,31568.0625,868.318601853354
295,{518A0048-8BE6-4357-900D-FD38BB9B88D1},RESIDENTIAL COMPREHENSIVE MULTIPLE UNIT DISTRICT,R3,19600.3311178,594.47163593,49536.7890625,945.068186914754
296,{FC6A31D2-2135-41F0-A617-FE0B98A3C5C3},WOODSIDE LANE RESIDENTIAL SINGLE FAMILY DETACHED PLUS DIRECT CONTROL DISTRICT,DC-31(Z)2006,11039.596585,436.25088165,27953.9609375,693.966700481395
297,{0B0D6E46-4AEF-4729-85A9-FE26264AF081},PUBLIC USE DISTRICT,PD,468.056721579,92.4009848641,1184.4375,146.921539914373
298,{399CF592-1996-4F87-82DC-FE32D058E56B},TOWN CENTRE DISTRICT,TC,44759.6630189,1085.71339198,113297.484375,1725.84984873775
299,{7F3A5F11-78F4-4195-A63B-FFA0E90C80A0},SPRING CREEK MOUNTAIN VILLAGE VISITOR ACCOMODATION DIRECT CONTROL DISTRICT,DC-SCMV-C,15603.6853882,649.0791427,39490.53125,1032.38983246492
300,{A8B8707B-360A-4D5B-B1DD-FFC3B4434DCD},THREE SISTERS MIXED USE DISTRICT,TS-MU,12607.2352934,490.533516471,31864.7421875,780.112377201127
